Contract,Date,pre close,Pre settle,Open,High,Low,Close,Settle,ch1,ch2,Volume,Amount,OI,
bc2301,20230103,59080.0,58520.0,58100.0,58220.0,57980.0,58220.0,58000.0,-300.0,-520.0,90.0,2610.0,2095.0,
bc2301,20230104,58220.0,58000.0,,,,57400.0,57400.0,-600.0,-600.0,0.0,0.0,2095.0,
bc2301,20230105,57400.0,57400.0,57400.0,57400.0,56880.0,56880.0,57140.0,-520.0,-260.0,20.0,571.4,2095.0,
bc2301,20230106,56880.0,57140.0,,,,57140.0,57140.0,0.0,0.0,0.0,0.0,2095.0,
bc2301,20230109,57140.0,57140.0,,,,57140.0,57140.0,0.0,0.0,0.0,0.0,2095.0,
bc2301,20230110,57140.0,57140.0,57410.0,57410.0,57410.0,57410.0,57410.0,270.0,270.0,125.0,3588.125,2095.0,
bc2301,20230111,57410.0,57410.0,,,,57410.0,57410.0,0.0,0.0,0.0,0.0,2095.0,
bc2301,20230112,57410.0,57410.0,,,,57410.0,57410.0,0.0,0.0,0.0,0.0,2095.0,
bc2301,20230113,57410.0,57410.0,,,,57410.0,57410.0,0.0,0.0,0.0,0.0,2095.0,
bc2301,20230116,57410.0,57410.0,,,,57410.0,57410.0,0.0,0.0,0.0,0.0,2095.0,
bc2302,20230103,58990.0,58880.0,58920.0,58960.0,58040.0,58460.0,58280.0,-420.0,-600.0,1718.0,50070.89,5416.0,
bc2302,20230104,58460.0,58280.0,58210.0,58470.0,57340.0,57430.0,57780.0,-850.0,-500.0,1686.0,48716.77,5439.0,
bc2302,20230105,57430.0,57780.0,56980.0,57250.0,56410.0,56890.0,56960.0,-890.0,-820.0,1120.0,31903.055,5479.0,
bc2302,20230106,56890.0,56960.0,57560.0,58270.0,57560.0,58040.0,57830.0,1080.0,870.0,749.0,21658.37,5611.0,
bc2302,20230109,58040.0,57830.0,57590.0,59050.0,57400.0,58920.0,58470.0,1090.0,640.0,1558.0,45551.04,5706.0,
bc2302,20230110,58920.0,58470.0,59130.0,59540.0,59040.0,59410.0,59280.0,940.0,810.0,558.0,16539.29,5849.0,
bc2302,20230111,59410.0,59280.0,59620.0,60910.0,59510.0,60840.0,60040.0,1560.0,760.0,1068.0,32061.45,6124.0,
bc2302,20230112,60840.0,60040.0,60940.0,61810.0,60880.0,61490.0,61550.0,1450.0,1510.0,731.0,22498.095,6154.0,
bc2302,20230113,61490.0,61550.0,61540.0,62030.0,61340.0,61420.0,61720.0,-130.0,170.0,804.0,24815.38,5895.0,
bc2302,20230116,61420.0,61720.0,61190.0,61670.0,60990.0,61420.0,61480.0,-300.0,-240.0,407.0,12512.385,5893.0,
bc2302,20230117,61420.0,61480.0,61510.0,61620.0,61100.0,61140.0,61370.0,-340.0,-110.0,86.0,2639.115,5892.0,
bc2302,20230118,61140.0,61370.0,61600.0,63020.0,61340.0,62900.0,62290.0,1530.0,920.0,542.0,16880.75,5896.0,
bc2302,20230119,62900.0,62290.0,63390.0,63770.0,62000.0,62120.0,62930.0,-170.0,640.0,141.0,4437.05,5881.0,
bc2302,20230120,62120.0,62930.0,62050.0,63110.0,62000.0,62650.0,62690.0,-280.0,-240.0,65.0,2037.735,5837.0,
bc2302,20230130,62650.0,62690.0,62650.0,62650.0,61480.0,61480.0,62110.0,-1210.0,-580.0,42.0,1304.325,5826.0,
bc2302,20230131,61480.0,62110.0,61480.0,62090.0,61340.0,61340.0,61590.0,-770.0,-520.0,58.0,1786.17,5785.0,
bc2302,20230201,61340.0,61590.0,61700.0,62050.0,61700.0,62050.0,61940.0,460.0,350.0,25.0,774.25,5785.0,
bc2302,20230202,62050.0,61940.0,61430.0,61430.0,61430.0,61430.0,61430.0,-510.0,-510.0,5.0,153.575,5785.0,
bc2302,20230203,61430.0,61430.0,,,,61430.0,61430.0,0.0,0.0,0.0,0.0,5785.0,
bc2302,20230206,61430.0,61430.0,,,,61430.0,61430.0,0.0,0.0,0.0,0.0,5785.0,
bc2302,20230207,61430.0,61430.0,,,,61430.0,61430.0,0.0,0.0,0.0,0.0,5785.0,
bc2302,20230208,61430.0,61430.0,,,,61430.0,61430.0,0.0,0.0,0.0,0.0,5785.0,
bc2302,20230209,61430.0,61430.0,,,,61430.0,61430.0,0.0,0.0,0.0,0.0,5785.0,
bc2302,20230210,61430.0,61430.0,,,,61430.0,61430.0,0.0,0.0,0.0,0.0,5785.0,
bc2302,20230213,61430.0,61430.0,,,,61430.0,61430.0,0.0,0.0,0.0,0.0,5785.0,
bc2302,20230214,61430.0,61430.0,,,,61430.0,61430.0,0.0,0.0,0.0,0.0,5785.0,
bc2302,20230215,61430.0,61430.0,,,,61430.0,61430.0,0.0,0.0,0.0,0.0,5785.0,
bc2303,20230103,59210.0,59040.0,59250.0,59250.0,58170.0,58630.0,58510.0,-410.0,-530.0,6903.0,201952.295,13722.0,
bc2303,20230104,58630.0,58510.0,58340.0,58660.0,57450.0,57500.0,57950.0,-1010.0,-560.0,10198.0,295503.19,14126.0,
bc2303,20230105,57500.0,57950.0,56890.0,57390.0,56810.0,57050.0,57060.0,-900.0,-890.0,11244.0,320825.5,14915.0,
bc2303,20230106,57050.0,57060.0,57660.0,58300.0,57660.0,58180.0,58010.0,1120.0,950.0,12615.0,365915.64,13322.0,
bc2303,20230109,58180.0,58010.0,57750.0,59500.0,57610.0,59060.0,58550.0,1050.0,540.0,14018.0,410387.51,12851.0,
bc2303,20230110,59060.0,58550.0,59230.0,59780.0,59230.0,59550.0,59490.0,1000.0,940.0,10086.0,300038.27,13947.0,
bc2303,20230111,59550.0,59490.0,59570.0,61090.0,59570.0,61010.0,60430.0,1520.0,940.0,13020.0,393440.525,16281.0,
bc2303,20230112,61010.0,60430.0,61380.0,62010.0,61040.0,61620.0,61680.0,1190.0,1250.0,11798.0,363859.695,16776.0,
bc2303,20230113,61620.0,61680.0,61670.0,62310.0,61440.0,61580.0,61820.0,-100.0,140.0,11574.0,357785.115,17542.0,
bc2303,20230116,61580.0,61820.0,61490.0,61850.0,61070.0,61650.0,61580.0,-170.0,-240.0,7597.0,233945.64,17460.0,
bc2303,20230117,61650.0,61580.0,61690.0,61820.0,61200.0,61200.0,61510.0,-380.0,-70.0,8120.0,249752.665,16805.0,
bc2303,20230118,61200.0,61510.0,61710.0,63190.0,61640.0,63070.0,62500.0,1560.0,990.0,12309.0,384690.1,16276.0,
